date,regime_code,regime_label,overall_confidence,fast_confidence,slow_confidence,shock_flag,shock_watch_flag,transition_flag,floor_triggered,floor_reason,axis1,axis2,axis3,axis4,steepener_type,vix_zscore
1990-02-13,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-14,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-02-15,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-02-16,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-02-20,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-21,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-22,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-23,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-26,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,
1990-02-27,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-02-28,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-03-01,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-03-02,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-03-05,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,
1990-03-06,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-07,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-08,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-09,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-12,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-13,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-14,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-15,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-16,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-19,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-20,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-21,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-22,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,
1990-03-23,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-26,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-27,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,
1990-03-28,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
1990-03-29,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,
