Date,walk_forward,frozen_oos,in_sample,ew_buyhold
2024-01-02,0.9982408914286204,0.9982408914286204,1.0019449331044057,1.0002920473831423
2024-01-03,0.9892729251409013,0.9892729251409013,0.9866221231866964,0.9857232593154814
2024-01-04,0.9882855611009234,0.9882855611009234,0.9881038650993635,0.9874982124688005
2024-01-05,0.9895944952894626,0.9895944952894626,0.9893078815701059,0.9893713311167674
2024-01-08,0.9853098530361585,0.9853098530361585,0.9895029538864181,0.9950882731132459
2024-01-09,0.9852779195866279,0.9852779195866279,0.9888112042040182,0.9933117822152894
2024-01-10,0.9822589994832793,0.9822589994832793,0.9893109550875347,1.0019184720725256
2024-01-11,0.9817738745654041,0.9817738745654041,0.9903367010015734,1.0034607253244907
2024-01-12,0.9858887675207075,0.9858887675207075,0.9875187179939591,0.9996458556505307
2024-01-16,0.980177616324703,0.980177616324703,0.9818202666817445,0.9953307028658359
2024-01-17,0.971936398274921,0.971936398274921,0.9708984363155064,0.9833886871781355
2024-01-18,0.9760184329727914,0.9760184329727914,0.9728812234337652,0.9854631961403167
2024-01-19,0.9816563197391641,0.9816563197391641,0.9834705816614876,0.9936841144730106
2024-01-22,0.9822597459345983,0.9822597459345983,0.9805859870238659,0.9853403110659006
2024-01-23,0.9836929395962936,0.9836929395962936,0.9815350842129572,0.9859099201093702
2024-01-24,0.9846924935466383,0.9846924935466383,0.9823389600100462,0.9907665258688029
2024-01-25,0.9885837118097509,0.9885837118097509,0.9874059903918337,0.993601994022087
2024-01-26,0.9894275137030867,0.9894275137030867,0.9916648124817882,0.9989872118256556
2024-01-29,0.9925838093108941,0.9925838093108941,0.9979652791234704,1.0054978344523384
2024-01-30,0.9930814536834491,0.9930814536834491,0.9979692629404813,1.0043909873276677
2024-01-31,0.9907190572084578,0.9907190572084578,0.9925339347662437,0.9961006321285534
2024-02-01,0.9924363092707393,0.9924363092707393,0.9954304958290293,0.9999302732262628
2024-02-02,0.993305078659855,0.993305078659855,0.9975927932571187,0.9987727718175036
