,ASHR,BTC-USD,CL=F,ETH-USD,GC=F,SI=F,VEA,VWO,^FTSE,^GSPC,^KS11,^N225,^NDX,^TWII
2024-01-02,0.0,0.0560732146150866,0.08758136940754453,0.035783344024455904,0.16190294146044343,0.054978531966360114,0.0,0.0,0.0,0.0,0.14804223235723502,0.0,0.0,0.3306383661688744
2024-04-01,0.0,0.03313618191909462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11535995229350746,0.147228448824595,0.20427541696280288
2024-07-01,0.0,0.0,0.0,0.0,0.14372957892807184,0.06981686838500674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16145355268692138
2024-10-01,0.0,0.07988335819349326,0.15874565388219586,0.04350342086895605,0.19014189447159596,0.1158537523573168,0.0,0.0,0.0,0.0,0.1618719202264421,0.0,0.0,0.0
2025-01-02,0.04350577469858728,0.0,0.0,0.0,0.09898576767345113,0.09453638898907987,0.22951733944467909,0.0,0.1558768247717213,0.08424745905756756,0.10999762204106064,0.0,0.18333282332385314,0.0
2025-04-01,0.08079683883394286,0.0,0.0,0.0,0.0,0.0,0.18784273156401224,0.15288122971997048,0.21520984316770136,0.07636664693013522,0.10411757557424653,0.05277724813225429,0.1300078860777371,0.0
2025-07-01,0.0,0.0,0.06723469668127204,0.0,0.14760361298050795,0.0,0.0,0.0,0.139354260866502,0.0,0.14444518458470498,0.1263622448870131,0.0,0.0
2025-10-01,0.0,0.0,0.06536227273395188,0.0,0.0,0.0,0.0,0.0,0.0,0.17179077933273806,0.0,0.12619429544350372,0.0,0.13665265248980635
2026-01-02,0.15117462129760623,0.0,0.081973281106957,0.0,0.11281960738610755,0.06179900911794954,0.0,0.0,0.0,0.0,0.0,0.07099232291796559,0.17768993534474153,0.2185512228286726
2026-04-01,0.0,0.0,0.0,0.021710364262190005,0.08852578503023795,0.0,0.10365920716802889,0.14099661675931244,0.17415921924043687,0.22678657089896795,0.025333502608882723,0.0,0.21882873403194308,0.0
2026-07-01,0.0,0.0,0.0379747247052654,0.0,0.18620606949277382,0.060170862126413746,0.0,0.18822510515643265,0.0,0.0,0.0,0.1092806480564453,0.0,0.168142590462669
