asset,asset_class,indicator,slot,horizon,ic,ic_ir,n_obs,p_value,note,survives_fdr,cutoff
^GSPC,equity,VU-pvt,volume,1,0.0057107684204102,-1.2096869081342745,18618,0.4408225075982834,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,5,0.0038789587143322,-0.8190956470853521,18614,0.7727591736390925,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,10,-0.0010340635329832,-0.628730805822536,18609,0.9560268926775636,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,20,-0.0014496498204849,-0.4765022831599982,18599,0.9557849367623494,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,1,-0.0065060149548542,-0.5742108885126149,18601,0.4056974530053339,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,5,-0.0220642076792479,-0.3991993633426008,18597,0.0861217092894009,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,10,-0.0348079328843703,-0.3052337201559404,18592,0.0364885947712949,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,20,-0.048440918059233,-0.2650264506965857,18582,0.0203185850789103,,False,2023-12-31
^GSPC,equity,TR-adx,trend,1,0.0138154238218723,-0.0851206608276051,24087,0.0370540179041687,,False,2023-12-31
^GSPC,equity,TR-adx,trend,5,0.0246244216901837,-0.0529164835120829,24083,0.0420315044733898,,False,2023-12-31
^GSPC,equity,TR-adx,trend,10,0.021444326337006,-0.0425325541648838,24078,0.1890650387724034,,False,2023-12-31
^GSPC,equity,TR-adx,trend,20,0.0218326379556254,-0.033062229456517,24068,0.3131679072312113,,False,2023-12-31
^GSPC,equity,TR-aroon,trend,1,-0.0019822025152994,-0.4385156724406871,24100,0.7621353635179582,,False,2023-12-31
^GSPC,equity,TR-aroon,trend,5,-0.0076646786979814,-0.2579667809961875,24096,0.4955606977127281,,False,2023-12-31
^GSPC,equity,TR-aroon,trend,10,0.0035314027211007,-0.1908629733461948,24091,0.8076149517705655,,False,2023-12-31
^GSPC,equity,TR-aroon,trend,20,-0.0115010880244871,-0.2047543789590133,24081,0.5197395762163609,,False,2023-12-31
^GSPC,equity,TR-chop,trend,1,-0.0102146516002289,0.0110591666463805,24100,0.1124706699524078,,False,2023-12-31
^GSPC,equity,TR-chop,trend,5,-0.0159680877004868,0.0208489808234736,24096,0.166097604592414,,False,2023-12-31
^GSPC,equity,TR-chop,trend,10,-0.0279275598176676,0.0093564331408356,24091,0.0653195718183223,,False,2023-12-31
^GSPC,equity,TR-chop,trend,20,-0.032403200805472,0.0209388354667393,24081,0.0968492678994734,,False,2023-12-31
^GSPC,equity,TR-dpo,trend,1,0.0026364589263518,-0.783268169426283,24084,0.6938568677771333,,False,2023-12-31
^GSPC,equity,TR-dpo,trend,5,-0.017284963319949,-0.4949750946924747,24080,0.133964143504988,,False,2023-12-31
^GSPC,equity,TR-dpo,trend,10,-0.022097054940581,-0.3672317041069939,24075,0.1408572109241294,,False,2023-12-31
^GSPC,equity,TR-dpo,trend,20,-0.0366446869825002,-0.3037288054842054,24065,0.0599042663974722,,False,2023-12-31
^GSPC,equity,TR-qstick,trend,1,-0.0102611083129103,-0.2676035985412074,24105,0.1181532602320976,,False,2023-12-31
^GSPC,equity,TR-qstick,trend,5,-0.0242821437398868,-0.1672459237288829,24101,0.021814637522883,,False,2023-12-31
^GSPC,equity,TR-qstick,trend,10,-0.0206008770105186,-0.1206240676317063,24096,0.1176606460184447,,False,2023-12-31
^GSPC,equity,TR-qstick,trend,20,-0.0239893120472378,-0.1112954677648475,24086,0.1121271063384643,,False,2023-12-31
^GSPC,equity,TR-trendflex,trend,1,-0.0010940886379863,-0.5143440046931899,24094,0.8681428504227898,,False,2023-12-31
^GSPC,equity,TR-trendflex,trend,5,-0.0037039531027904,-0.2879305065892069,24090,0.7494725779498403,,False,2023-12-31
^GSPC,equity,TR-trendflex,trend,10,-0.0077878873561039,-0.2279450588557929,24085,0.6089256734704372,,False,2023-12-31
^GSPC,equity,TR-trendflex,trend,20,-0.0326760683066325,-0.225192295544621,24075,0.0885149349339367,,False,2023-12-31
^GSPC,equity,TR-vhf,trend,1,-3.678221199170755e-05,-0.0993425666688052,24086,0.995509966912826,,False,2023-12-31
^GSPC,equity,TR-vhf,trend,5,-0.0058919945289061,-0.0734878520086437,24082,0.6078687233516222,,False,2023-12-31
^GSPC,equity,TR-vhf,trend,10,-0.0120788908745437,-0.0598298549500838,24077,0.4299141356784685,,False,2023-12-31
^GSPC,equity,TR-vhf,trend,20,-0.0147295830563589,-0.0527290107271463,24067,0.4529595864125461,,False,2023-12-31
^GSPC,equity,TR-vortex,trend,1,-0.0105039364941549,-0.3288147590527469,24100,0.1045377340001102,,False,2023-12-31
^GSPC,equity,TR-vortex,trend,5,-0.0263454084335322,-0.1916387846293994,24096,0.0158137749315792,,False,2023-12-31
^GSPC,equity,TR-vortex,trend,10,-0.0240440453887953,-0.1364276183263098,24091,0.0828332442830236,,False,2023-12-31
^GSPC,equity,TR-vortex,trend,20,-0.0330050370310181,-0.118069304213326,24081,0.0508533425517176,,False,2023-12-31
^GSPC,equity,MO-ao,momentum,1,-0.0053907020633205,-0.7924815909813341,24081,0.4229159804130961,,False,2023-12-31
^GSPC,equity,MO-ao,momentum,5,-0.0155276920578829,-0.4568238596565633,24077,0.1816196014177632,,False,2023-12-31
^GSPC,equity,MO-ao,momentum,10,-0.0215467852246496,-0.3414098424598182,24072,0.1538065453632272,,False,2023-12-31
^GSPC,equity,MO-ao,momentum,20,-0.0398185082058381,-0.2752035642423721,24062,0.0430992212323128,,False,2023-12-31
^GSPC,equity,MO-apo,momentum,1,-0.0009124087456334,-0.5687715797543395,24089,0.8917416813823543,,False,2023-12-31
^GSPC,equity,MO-apo,momentum,5,-0.0163515034897754,-0.3395263998227079,24085,0.1588705471180767,,False,2023-12-31
^GSPC,equity,MO-apo,momentum,10,-0.0279548618236685,-0.2526280638353464,24080,0.06706415391575,,False,2023-12-31
^GSPC,equity,MO-apo,momentum,20,-0.0454518039009899,-0.2149783204319821,24070,0.0168815780311883,,False,2023-12-31
^GSPC,equity,MO-bias,momentum,1,0.0083736277278721,-0.62144939920801,24089,0.2308655084591476,,False,2023-12-31
^GSPC,equity,MO-bias,momentum,5,-0.0044393546461803,-0.4163598335100412,24085,0.7157186097031312,,False,2023-12-31
^GSPC,equity,MO-bias,momentum,10,-0.0082162921484118,-0.3190314275174778,24080,0.6107480841698396,,False,2023-12-31
^GSPC,equity,MO-bias,momentum,20,-0.0210536371387596,-0.2882862348024192,24070,0.3050444918469351,,False,2023-12-31
^GSPC,equity,MO-bop,momentum,1,0.0325794380368103,0.1352346857607758,24114,2.3691540383154498e-07,,True,2023-12-31
^GSPC,equity,MO-bop,momentum,5,0.0027240637865137,-0.0506839949340929,24110,0.6593246553163561,,False,2023-12-31
^GSPC,equity,MO-bop,momentum,10,-0.005673090310343,-0.061703683542686,24105,0.3715279543151353,,False,2023-12-31
^GSPC,equity,MO-bop,momentum,20,-0.0036989642871623,-0.0520621691670945,24095,0.544479564009675,,False,2023-12-31
^GSPC,equity,MO-brar,momentum,1,-0.0120764281231344,-0.3711307794970145,24089,0.0626255828336385,,False,2023-12-31
^GSPC,equity,MO-brar,momentum,5,-0.034174813047215,-0.2324330434355075,24085,0.002078479307966,,True,2023-12-31
^GSPC,equity,MO-brar,momentum,10,-0.041187333374539,-0.1744577129646922,24080,0.0042219590160246,,True,2023-12-31
^GSPC,equity,MO-brar,momentum,20,-0.0689854171250706,-0.1370342604532406,24070,0.0002563423926334,,True,2023-12-31
^GSPC,equity,MO-cci,momentum,1,0.0087341468703455,-0.3027319960354831,24101,0.1738808000246453,,False,2023-12-31
^GSPC,equity,MO-cci,momentum,5,-0.0138063082221512,-0.2587139819029863,24097,0.2092041222969874,,False,2023-12-31
