,BTC-USD,CHF=X,CL=F,DX-Y.NYB,ETH-USD,EURUSD=X,GC=F,HYG,LQD,SI=F,TLT,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^N225,^NDX,^STOXX50E
2024-01-02,0.021002787754740914,0.3335197910146396,0.020143104662424992,0.0,0.0,0.2512592554697513,0.0,0.0,0.0,0.04194822160671884,0.0,0.0,0.18709000114103,0.0,0.07436436430877787,0.0706724740419166,0.0,0.0,0.0
2024-02-01,0.02221571037561626,0.0,0.07963140746893532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836518939958646,0.0,0.21284959742164788,0.0,0.07018729862768909,0.07543342559801725,0.14607020244053287,0.20996046407169675,0.0
2024-03-01,0.044704284443001494,0.0,0.026267611707554307,0.2834545339483481,0.0,0.30992201125122976,0.0,0.0,0.0,0.0,0.1269655190407464,0.0,0.0,0.0,0.06167959075947505,0.06885233684358516,0.07815411200605976,0.0,0.0
2024-04-01,0.014285834316829126,0.0,0.0,0.4254794819118104,0.0,0.0,0.0,0.0,0.0,0.032656249672602354,0.10891961764483059,0.0,0.14718109292615073,0.0,0.04470156167695409,0.10688110125229704,0.0,0.11989506059852588,0.0
2024-05-01,0.0,0.0,0.0,0.37799813040301794,0.0,0.0,0.10154743453191269,0.0,0.0,0.045883261764467116,0.0,0.0,0.0,0.07543584651889165,0.10299928776966946,0.042886482653388965,0.0,0.10194153863334904,0.15130801772530314
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.15134258805784032,0.07251253912829426,0.0,0.0,0.08147352828592411,0.14259620249877816,0.0,0.12665378207671346,0.0,0.07256690819522937,0.0,0.0,0.13064263388417172,0.22221181787304864
2024-07-01,0.0,0.20600410737345637,0.0,0.2734191070431846,0.0,0.09136044368680338,0.0,0.0,0.0,0.0,0.0,0.07655336287814136,0.0,0.09536648365692987,0.0,0.0,0.05256368820621644,0.07680115001915123,0.12793165713611668
2024-08-01,0.0,0.33148544325670043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1448273388155466,0.0,0.0,0.12892141404202834,0.03731910955630097,0.06525276418482227,0.10708484875601547,0.06742271676775173,0.11768636462083433
2024-09-03,0.0,0.2948081877370931,0.08501987975507307,0.0,0.0,0.19362966168395465,0.08249702642758439,0.0,0.0,0.0,0.0,0.0,0.0,0.11120325354524103,0.11704241147170728,0.07567481770599901,0.0,0.040124761673347525,0.0
2024-10-01,0.030147157631409866,0.1807583882824445,0.06254233839363715,0.0,0.0,0.43888157577647813,0.0,0.0,0.0,0.029820655951905566,0.0,0.0,0.0,0.0,0.12917933767675177,0.09978758330515566,0.02888296298221748,0.0,0.0
2024-11-01,0.023708274384690243,0.0,0.051834806637908126,0.0,0.0,0.0,0.0,0.28477887553586984,0.0,0.0,0.06875691818929865,0.17096980247793725,0.12384833371033922,0.0,0.0,0.0,0.0,0.12287946711008575,0.15322352195387082
2024-12-02,0.04246772871509301,0.11068237204097878,0.05153651168690096,0.2289887908689039,0.0,0.14566441768798621,0.0,0.0,0.16977562869160492,0.0,0.14569214145973677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10519240884879541
2025-01-02,0.0,0.0,0.0,0.2606134375142847,0.0,0.0,0.0,0.33018887920354867,0.0,0.03974798215419868,0.0,0.11991149345393341,0.07404807702090453,0.0,0.0,0.031543973761113724,0.0,0.08833909614257698,0.055607060749439316
