Date,OOS,IS,EW_BH
2024-01-02,0.99813051689732,1.0019449331044057,1.0002920473831423
2024-01-03,0.990410129371591,0.9866221231866964,0.9857232593154814
2024-01-04,0.9888838015258116,0.9881038650993635,0.9874982124688005
2024-01-05,0.9900256596616257,0.9893078815701059,0.9893713311167674
2024-01-08,0.9873072075813518,0.9895029538864181,0.9950882731132459
2024-01-09,0.9869926173337797,0.9888112042040182,0.9933117822152894
2024-01-10,0.9843074188996226,0.9893109550875347,1.0019184720725256
2024-01-11,0.9842701506850684,0.9903367010015734,1.0034607253244907
2024-01-12,0.9861335242081487,0.9875187179939591,0.9996458556505307
2024-01-16,0.9816538894753115,0.9818202666817445,0.9953307028658359
2024-01-17,0.9746948101202341,0.9708984363155064,0.9833886871781355
2024-01-18,0.9775887343645014,0.9728812234337652,0.9854631961403167
2024-01-19,0.9833156665996046,0.9834705816614876,0.9936841144730106
2024-01-22,0.9842470580773942,0.9805859870238659,0.9853403110659006
2024-01-23,0.9856330158877284,0.9815350842129572,0.9859099201093702
2024-01-24,0.9874565625604758,0.9823389600100462,0.9907665258688029
2024-01-25,0.9910868591846984,0.9874059903918337,0.993601994022087
2024-01-26,0.991835813835694,0.9916648124817882,0.9989872118256556
2024-01-29,0.9948351406081749,0.9979652791234704,1.0054978344523384
2024-01-30,0.99462354681912,0.9979692629404813,1.0043909873276677
2024-01-31,0.9909924767222649,0.9925339347662437,0.9961006321285534
2024-02-01,0.9928857606417186,0.9955602490312199,0.9999302732262628
2024-02-02,0.9948861779519887,0.9973285451476844,0.9987727718175036
2024-02-05,0.9929216315817702,0.9947646714519838,0.9968343354591992
2024-02-06,0.9927759431232203,0.9971012199713608,1.0056231177709671
2024-02-07,0.9946833905872812,1.0018670570169665,1.0116098834896206
2024-02-08,0.9985271617062091,1.0070243821892388,1.0174533237581165
2024-02-09,0.9989329749528122,1.0105065567780287,1.0243469441662365
2024-02-12,0.9997219054920468,1.0170157897082646,1.0355473943795859
2024-02-13,0.9997834680851698,1.0158780454665648,1.0302342023432165
2024-02-14,0.9979792727071609,1.0179689696317715,1.0400701209474545
2024-02-15,1.007036697448997,1.0325440668020716,1.0506341844534188
2024-02-16,1.0117213057257035,1.0371470230276536,1.0563904291150117
2024-02-20,1.0115736449089452,1.0430217160842614,1.061494752896751
2024-02-21,1.0092458138450897,1.0387659992126241,1.0578087414373483
2024-02-22,1.012037613022975,1.04238142948393,1.0659613071429104
2024-02-23,1.0115404279682156,1.0410763643260557,1.0632844949023907
2024-02-26,1.0101942326165085,1.049557106363835,1.0752428140986319
2024-02-27,1.009126342447168,1.0530558610238585,1.0836710514565546
2024-02-28,1.0099129107206208,1.0632419555600632,1.0935358355606577
2024-02-29,1.0113269982246917,1.0635837922485059,1.0935662802983004
2024-03-01,1.014438883473858,1.0725543961809514,1.1093765633013444
2024-03-04,1.021591679264191,1.09438292850078,1.1284681239816496
2024-03-05,1.020482627574706,1.0877799701243598,1.115462562987838
2024-03-06,1.0241378570707989,1.100279467346248,1.134092731604464
2024-03-07,1.0267750146993548,1.1067306407638617,1.1403806773856264
2024-03-08,1.0286542430905523,1.1127731220836077,1.1422301602501204
2024-03-11,1.0274820769193589,1.118946921939935,1.1532435198871618
2024-03-12,1.0291471764079612,1.118531047810519,1.1522974267278814
2024-03-13,1.034914963034722,1.1275624910450779,1.1594145879328328
2024-03-14,1.0374649717093494,1.1256895406340435,1.1525002683194563
2024-03-15,1.0329065285768586,1.1131704917612926,1.1411094176419019
2024-03-18,1.0371557718735003,1.114088008142808,1.1380847947740311
2024-03-19,1.0354124586428761,1.0991898790692238,1.1173799940550735
2024-03-20,1.0348199637650126,1.1111294881118385,1.1405372119980843
2024-03-21,1.0420253726648936,1.1198203860350928,1.142433438664812
2024-03-22,1.0409721023412168,1.1124472905504892,1.1314614313615325
2024-03-25,1.0413535387804447,1.1264395552173116,1.1498007154907084
2024-03-26,1.0404103638232132,1.12535741382116,1.1486382847764827
2024-03-27,1.0414118438549764,1.1257109121720603,1.147635385098358
2024-03-28,1.0426194554314763,1.1315967592197598,1.1538668820694433
2024-04-01,1.043390295703832,1.1305612738267763,1.1529734901957622
2024-04-02,1.0401585894828875,1.1296606172631598,1.1429640507199756
2024-04-03,1.036481582064903,1.1275574112075935,1.1479209557954462
2024-04-04,1.0379818194526609,1.1273732519968704,1.1533593730947853
2024-04-05,1.0351650426705716,1.1265757225959487,1.1532355009868367
2024-04-08,1.0372167474990985,1.1305817976281456,1.1737296216175859
2024-04-09,1.037704811700289,1.1356222697741265,1.1665041997641428
2024-04-10,1.0338664711779229,1.1339501661665663,1.165963788736321
2024-04-11,1.0369000982243453,1.1358036503973181,1.1662148353107695
2024-04-12,1.0294171313702098,1.1315801726642332,1.1480425438625224
2024-04-15,1.0259986710868731,1.122643150093125,1.13502096825438
2024-04-16,1.0188301547832759,1.114153230015449,1.1258161427768427
2024-04-17,1.0140913893063372,1.1127190565100404,1.1148187213179794
2024-04-18,1.017711033062508,1.1143884648927167,1.123340583175601
2024-04-19,1.007613902646126,1.0991473065758532,1.1172978809131646
2024-04-22,1.0136254012589845,1.1021874646424494,1.1243470867252634
2024-04-23,1.0152821754182433,1.106862178131576,1.128723971423665
2024-04-24,1.0212813490375163,1.1152940972040986,1.1276165249882222
2024-04-25,1.0153680047606135,1.1086767040867314,1.1253006252223337
2024-04-26,1.0227863255202436,1.1149294915810914,1.13091356446927
2024-04-29,1.027542917713914,1.1198634297315386,1.1385263429493386
2024-04-30,1.0230118001651332,1.1154408932421538,1.116432845251277
2024-05-01,1.020441756671041,1.1126367795102392,1.1075539243629673
2024-05-02,1.0258586633463043,1.1130108412523108,1.1157380887382522
2024-05-03,1.0309118760753508,1.1194295755773056,1.128995430859321
2024-05-06,1.032381158413318,1.1236368038321427,1.1345287279572878
2024-05-07,1.0372927066464666,1.1266185530799957,1.1345907134909228
2024-05-08,1.034104917827095,1.1244356598334364,1.1309870560057356
2024-05-09,1.0346824942207211,1.1236619951890292,1.1403692838897859
2024-05-10,1.0349603228067428,1.1251035519747243,1.1351624907650484
2024-05-13,1.0359936734228503,1.1281082026072102,1.140572457413754
2024-05-14,1.0371084293893742,1.1305695643928786,1.1391265104598558
2024-05-15,1.0419540197306807,1.1375127671975163,1.1611969555950459
2024-05-16,1.0443875764006556,1.1401484985848775,1.1592058818363182
2024-05-17,1.044745012908527,1.1400490648010806,1.1736059375270007
2024-05-20,1.048960045054633,1.14461341522942,1.2037502752725078
2024-05-21,1.0467719341081683,1.1434810946243816,1.2019906264098283
2024-05-22,1.0453541455617152,1.145407424240355,1.1931824465441156
2024-05-23,1.0431295057895151,1.146245958448433,1.18436720840522
2024-05-24,1.0407605522333467,1.1462816953130106,1.1841507014481558
2024-05-28,1.0443211050043706,1.1507580461230693,1.197204515113127
2024-05-29,1.0387683915294628,1.1459506984103633,1.1864642994174992
2024-05-30,1.0328092282248527,1.1395095775036916,1.1799658021837487
2024-05-31,1.0327752347647585,1.1382554809082244,1.174572153370162
2024-06-03,1.038658327995875,1.14510931357583,1.1810650276600574
2024-06-04,1.039876610532347,1.1441908180325193,1.178409856314677
2024-06-05,1.0436475835887264,1.1482749794122034,1.188187902942055
2024-06-06,1.04408479850805,1.1534607804601076,1.1948685908392176
2024-06-07,1.0438609819744564,1.1519548407436497,1.1780623598674187
2024-06-10,1.0448051786888661,1.15386792994848,1.1827655551314564
2024-06-11,1.0449723250259282,1.1535030049444892,1.1706214007816247
2024-06-12,1.0491988703199855,1.1584181459744851,1.1841193238316698
2024-06-13,1.0498191635616663,1.161160457304643,1.1739640382484222
2024-06-14,1.0519338462202175,1.1640370978499763,1.176544831557622
2024-06-17,1.0514811099594201,1.1641000864189854,1.1797299371385659
2024-06-18,1.0538069960290273,1.1676663007789894,1.1831358878969511
2024-06-20,1.0529359385365196,1.1740022803845542,1.191118312468684
2024-06-21,1.050087726719568,1.1712709645984787,1.1807135280726795
2024-06-24,1.0458011358669568,1.1628215152821573,1.1682844476082315
2024-06-25,1.0491277060440998,1.1676081451020701,1.1702991524364625
2024-06-26,1.0527203857384604,1.17041149607669,1.1693155957382535
2024-06-27,1.0511373904163117,1.169195284944556,1.1730527309297503
2024-06-28,1.051470255812619,1.169778989732675,1.1704209343699656
2024-07-01,1.0531121991579722,1.1698309987660414,1.1805455720146698
2024-07-02,1.054478390701343,1.168177799466657,1.1788481660098618
2024-07-03,1.0577701962979442,1.1765747143659577,1.184069688637066
2024-07-05,1.0597697606637169,1.1841421549550515,1.176478657841131
2024-07-08,1.0608798832284865,1.1822233014681134,1.173736483085464
2024-07-09,1.063027860370609,1.1831869733682558,1.1797156205308528
2024-07-10,1.066404986749377,1.1848121942377299,1.186037570481029
2024-07-11,1.0665555899393366,1.1929047612409849,1.1919980360981683
2024-07-12,1.0656490928417564,1.187535589405523,1.189274285976189
2024-07-15,1.0659398262316602,1.1872726527925315,1.20972576947555
2024-07-16,1.068861309889366,1.1925519168727876,1.213267468124523
2024-07-17,1.062378130790916,1.1871841632656817,1.2017610185253007
2024-07-18,1.0587096869259007,1.1835267787325658,1.1956684265626771
2024-07-19,1.0551607897661535,1.172590135873288,1.1899522999932222
2024-07-22,1.05474349867606,1.1674187392897828,1.18817624025128
2024-07-23,1.0538634137626948,1.1733912838180731,1.1836019623786673
2024-07-24,1.0452903665982305,1.1739748268308796,1.1704883901335659
2024-07-25,1.0432273719780896,1.1658855934170034,1.1550901594904222
2024-07-26,1.0427982606486634,1.1618929030299725,1.1636268572301545
2024-07-29,1.041937835607858,1.1616306827532217,1.1630725529756845
2024-07-30,1.0396809043868702,1.165963926123087,1.160387691666309
2024-07-31,1.0492083587861443,1.1684712369804018,1.172384748720772
2024-08-01,1.0439398374921631,1.1714662619416523,1.1616190815416747
2024-08-02,1.034711911447702,1.162326771130852,1.1273773017994366
2024-08-05,1.0182511330023638,1.1425114435058892,1.0590797203014446
2024-08-06,1.0223074647742174,1.14715104720044,1.0769637939968177
2024-08-07,1.0231179568647926,1.1530203993514914,1.0784815280683206
2024-08-08,1.028669646475712,1.1536950108517916,1.109294884166353
2024-08-09,1.0318808576739615,1.1592831999104865,1.1108988334148915
2024-08-12,1.033445511597859,1.1651662042528312,1.1205969376325309
2024-08-13,1.0401089653417983,1.165047848629508,1.128552202839896
2024-08-14,1.040215895080028,1.1637360090215463,1.1222602282007756
2024-08-15,1.0459811938157664,1.166680894584581,1.1285845852669487
2024-08-16,1.04941604645352,1.1749071047882695,1.1406068848766624
2024-08-19,1.0535690864742397,1.1769226801609536,1.144809978554276
2024-08-20,1.0518989884225511,1.1783686857221543,1.1420762007537475
2024-08-21,1.0522883281150708,1.176650436951615,1.1464782835028138
2024-08-22,1.047031644813023,1.1724776227071732,1.1396115157176092
2024-08-23,1.052212634433296,1.1768616373953333,1.1615481358622017
2024-08-26,1.049942124051747,1.1787393539891018,1.1576640714464392
2024-08-27,1.049893778099124,1.1780921452913855,1.1436834328971581
2024-08-28,1.0470227836445865,1.1763667147540486,1.139039188753486
2024-08-29,1.0465541345427727,1.1778304250122684,1.1423860428756276
2024-08-30,1.0516733051797345,1.1737632599994205,1.1402819164888365
2024-09-03,1.0414398833484702,1.1698616020225199,1.1187755912898827
2024-09-04,1.0356083783216898,1.1625242646285896,1.1093368335559988
2024-09-05,1.0365136262507737,1.16614681518388,1.1055472343728414
2024-09-06,1.0301722969670541,1.1643361664664071,1.0845043125940512
2024-09-09,1.0303844748824442,1.1639008597535312,1.0982500734141345
2024-09-10,1.031213068084229,1.163905357802658,1.0965831437690352
2024-09-11,1.0357180875898144,1.1644742722915624,1.099109363773149
