,ASHR,BTC-USD,CL=F,ETH-USD,GC=F,SI=F,VEA,VWO,^FTSE,^GSPC,^KS11,^N225,^NDX,^TWII
2024-01-02,0.0,0.0560732146150866,0.08758136940754453,0.035783344024455904,0.16190294146044343,0.054978531966360114,0.0,0.0,0.0,0.0,0.14804223235723502,0.0,0.0,0.3306383661688744
2024-02-01,0.04376635305835577,0.03808090421402695,0.08253697205929705,0.023836222440942814,0.10796726582665855,0.03567265211308543,0.0,0.03639640746323922,0.0,0.0,0.13945432233928917,0.036549546522215905,0.06699948837415531,0.22148712913225038
2024-03-01,0.06090686505353046,0.050839674649601777,0.07088675482144206,0.043952832738022536,0.10070431226652063,0.022011516812714346,0.0,0.02363469012007613,0.0,0.0,0.14398031758656318,0.08715366862790971,0.04426793493767626,0.24670653826627
2024-04-01,0.038765105355179505,0.04835633441905783,0.04782805322986745,0.029736473034731647,0.06930122790616197,0.015288504639625554,0.0,0.015293797666842749,0.0,0.0,0.0949891432212491,0.09519688566322156,0.07750441227323551,0.2344564334535139
2024-05-01,0.06640272895653614,0.028037364283969093,0.03187143165190647,0.01701455391211265,0.10911374711098545,0.051026987684432826,0.04647481399842525,0.010444726014151405,0.0,0.04978241352282392,0.08259211918932126,0.06157148251152009,0.10214472164184252,0.1857156904311143
2024-06-03,0.10964177850566437,0.02018965291336505,0.048629944005498735,0.024774335434426663,0.13373157850457218,0.07487868455953231,0.03146975005096307,0.06814467255149749,0.0,0.0678311981618005,0.052331688887716395,0.039919802716054054,0.10162934105886831,0.12473205413467109
2024-07-01,0.06951808634749955,0.011829335775614548,0.03376431090672476,0.014572264054404198,0.13575636802758798,0.0706405838656674,0.020289293815343386,0.04555355121420995,0.0,0.04600965521704628,0.036405849987691294,0.026914819319342836,0.07074471031337515,0.14275812083721465
2024-08-01,0.04711487243629759,0.008455817044973968,0.04966958822640069,0.00931324720138078,0.09442981332635522,0.062396265328347536,0.05134799849782597,0.0742990888087392,0.0,0.10525245572919634,0.02405663864833401,0.017740853242683728,0.09712727261423432,0.09181218644844652
2024-09-03,0.030814568081605317,0.005152213311729515,0.07369311946133773,0.0,0.1283137564480041,0.0741217670983348,0.0351915458709717,0.09687961226824933,0.0,0.07169804009148165,0.04822177628420682,0.011678076969727143,0.06539502769065711,0.09285773524627666
2024-10-01,0.02439982173974433,0.030218794773712268,0.0973839669815123,0.01449969017562305,0.15169093526891292,0.09096412459888764,0.023161487754896567,0.06769613713599226,0.0,0.047627779738353165,0.08439917305186326,0.0074606962977634105,0.043638101192983864,0.06034439596278944
2024-11-01,0.023535243243795953,0.022107488554264556,0.09138532849146959,0.009246712393418179,0.10397191303799001,0.09717747493757133,0.07630796560717173,0.08467237218217556,0.06313118984617846,0.06793178101805927,0.05489263011139062,0.005073666216250762,0.09042286069800108,0.040885119210908434
2024-12-02,0.015490764190948646,0.048848611948836176,0.09767200291037598,0.0341540817821795,0.1341775584807306,0.0992760604406619,0.09413074591356023,0.09517210758325141,0.04270951750233769,0.04755165314831569,0.08607343637043066,0.0,0.06299484812232184,0.026406402452684663
2025-01-02,0.024771096295220278,0.03164289315100543,0.06961069620596261,0.021402989862216556,0.12271137573836097,0.09477804944954042,0.13787523779113514,0.06365213910101772,0.08041589036859326,0.05940886596777932,0.09348860960952385,0.0,0.10383883119060693,0.018462899606152036
2025-02-03,0.04923882964032948,0.022177896558312246,0.04501517173728328,0.013545382331214922,0.1374885599579792,0.09592321791751406,0.09207267440105435,0.09181302270421024,0.05457394462385142,0.03901522831736348,0.06271802631384052,0.0,0.0678717901185186,0.012057369486490666
2025-03-03,0.061961088367545006,0.0122942328044967,0.048672677838402276,0.006183668682805425,0.17047785746199254,0.09689635089903598,0.06335004047293975,0.10417461068534675,0.037292875052869295,0.08553898414686265,0.06250678113088315,0.0,0.09704321321212833,0.007949595117244083
2025-04-01,0.0677117805297068,0.007917003113339139,0.0328257660331815,0.0,0.12351934512752816,0.07039105240576654,0.10430031202242618,0.1204050676462233,0.09564305775275683,0.07851412193837018,0.07500461095669848,0.017590656802480353,0.10229286729385723,0.0
2025-05-01,0.07374522313203054,0.018068307184774472,0.06920204679921574,0.012168449093095586,0.1463709090693422,0.08741203845111023,0.07211059922671176,0.08001532409847097,0.1434568585762466,0.05179024650546328,0.09574961693979572,0.01183291823310675,0.0690257393179623,0.0
2025-06-02,0.10726305245800202,0.012805131912693994,0.09285017443092379,0.026291091529857893,0.16589699466107852,0.09157686377267556,0.04866673588896168,0.05335514512825994,0.09510542879964334,0.06515898492281486,0.09871570259752249,0.008001117922368746,0.048321011916696854,0.0
2025-07-01,0.07155737790975689,0.008416771369140952,0.08586264880442562,0.016486790586064892,0.15522421497506347,0.06368908596660158,0.03210414963125598,0.03592892278550268,0.10705012766778947,0.04363721936730422,0.11986226681767591,0.0475608356121703,0.03276435691862019,0.0
2025-08-01,0.11531998368550522,0.005880208687968293,0.05905643833695738,0.03110040451102855,0.1571377252506351,0.06715960675134389,0.053105173469592315,0.02339093502145246,0.07215486444999855,0.028826666044250503,0.08188520502287805,0.08761884762245672,0.057128733028518494,0.04394283229983132
2025-09-02,0.08332148995969826,0.0,0.0594535007117753,0.03246712303637557,0.1064147003461871,0.04742092762039137,0.035604512585325265,0.015539081898426954,0.04660113864759147,0.018860095197058876,0.05160906157648813,0.11036450293338379,0.11797699411579247,0.07118203486969615
2025-10-01,0.055037461632581657,0.0,0.05885561504573569,0.019755522982913956,0.07529265492296258,0.03491447080026765,0.02336476540586141,0.010509264400524496,0.030350121674973113,0.06975302094359825,0.03549852269810741,0.11634487872056432,0.07957230681459752,0.0940805793429652
2025-11-03,0.08840167975283109,0.0,0.03675443759899277,0.011708604496993428,0.09025311079143702,0.04611291472168051,0.015187534110122154,0.006810347215537464,0.020145870116317438,0.045563376621105364,0.06842849084734387,0.11612906322741522,0.05325057394639243,0.1284395517871988
2025-12-01,0.05830783958742647,0.0,0.057120250373024525,0.006171213170419082,0.08977731424720618,0.03626541571624397,0.010253989156081389,0.06205823271748394,0.013475748463060433,0.08790226913062507,0.043742018458682703,0.09685410377115687,0.035025222451204624,0.13729349696976678
2026-01-02,0.08961701181468278,0.0,0.06384229397043091,0.0,0.09762153895605792,0.04997408154411038,0.006897520695308234,0.04084370745329455,0.008976071348067452,0.05727748120134751,0.030606016655327393,0.08691288896326396,0.08189247996853968,0.16668322111224454
2026-02-02,0.14278121158621151,0.0,0.04561609717675653,0.0,0.09825701348166138,0.04800169034318693,0.0,0.07097721491596858,0.0058134511565421255,0.036528859258759094,0.054004469921609996,0.057922519565070565,0.10578175178384218,0.15036003219980945
2026-03-02,0.16155604288231978,0.0,0.029611109052273224,0.0,0.0897519083117383,0.03589152958515096,0.0,0.07361500093151482,0.0,0.08263222455181995,0.05966404852267621,0.08434071884649152,0.09493889249614941,0.16789239698844463
2026-04-01,0.11002517453728441,0.0,0.03186018310119898,0.007236064408587929,0.08623070329147073,0.020573338308602925,0.03454961374910403,0.0957056836511566,0.058047267772837606,0.13136971975177153,0.042782794643521284,0.05205314828461584,0.13716426814138924,0.10697194600841733
2026-05-01,0.07196233345171921,0.03535500962742517,0.019958015024175067,0.02336767019325906,0.09668823842628792,0.012242583833321104,0.07591211998718869,0.06306975161130907,0.08890051275114082,0.08767964223237878,0.033773686814603354,0.06827357585426663,0.09586836201728482,0.13364988928458862
2026-06-01,0.04653052352368149,0.021584809866072516,0.025953046997913475,0.013230133889867254,0.12054363965076567,0.029145547422544105,0.050278063714436605,0.08302242661552066,0.10483712135077115,0.10137004407548082,0.027543586208046755,0.09313205037336938,0.06725588782916786,0.15633679330904807
