asset,asset_class,cutoff,volume_ind,trend_ind,momentum_ind,volatility_ind,n_slots,horizon,comp_ic,comp_p,comp_ic_ir,redundancy,traded_sign,is_winner,fdr_fallback_slots
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,5,0.0761275952690605,0.0225576495239905,-0.1534416154865352,0.3692007557319188,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,10,0.1061779199404096,0.013879539322295,-0.1149367497791257,0.3692007557319188,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,20,0.1141972397061144,0.0402272748026426,-0.1126777167114923,0.3692007557319188,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-kst,VO-rvi,4,1,0.0339836021161612,0.0629192100333178,-0.406982915851414,0.2992053829750321,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-kst,VO-rvi,4,5,0.0779574988007503,0.0202560246575861,-0.1508756394142051,0.2992053829750321,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-kst,VO-rvi,4,10,0.1042119186299665,0.0166194612874954,-0.1148637381446485,0.2992053829750321,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-kst,VO-rvi,4,20,0.1141673152867465,0.0400434860970317,-0.1116739159814989,0.2992053829750321,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-brar,VO-rvi,4,1,0.0235808022965992,0.1898264192572489,-0.3598198265163875,0.3689946952656895,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-brar,VO-rvi,4,5,0.0693202537265962,0.0357976221531941,-0.1143213608025083,0.3689946952656895,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-brar,VO-rvi,4,10,0.0992567645528164,0.0186507836396152,-0.0904835721522734,0.3689946952656895,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-brar,VO-rvi,4,20,0.1044213555789469,0.0542053013944586,-0.0962140770559056,0.3689946952656895,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-er,VO-rvi,4,1,0.0315654169737257,0.0767644776855846,-0.1552954588141082,0.3335935331434546,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-er,VO-rvi,4,5,0.0824877068635513,0.0113168567616817,-0.0112109406620561,0.3335935331434546,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-er,VO-rvi,4,10,0.1168408828209599,0.0036112501197175,-0.0020932308559387,0.3335935331434546,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-er,VO-rvi,4,20,0.114916330113358,0.0184480828560605,-0.028771683000033,0.3335935331434546,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-smi,VO-rvi,4,1,0.0250284022796937,0.1653797603437538,-0.4191633733632045,0.4435492966913035,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-smi,VO-rvi,4,5,0.0679038497402237,0.0386539764426159,-0.1723183296801512,0.4435492966913035,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-smi,VO-rvi,4,10,0.0983493297695802,0.020904604142566,-0.1201404239440839,0.4435492966913035,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-smi,VO-rvi,4,20,0.1078609104749746,0.0491278182858213,-0.112390453934288,0.4435492966913035,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-tsi,VO-rvi,4,1,0.0280834544527317,0.1206809122932864,-0.4318009595385998,0.4072463632862586,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-tsi,VO-rvi,4,5,0.0691540284467975,0.036462059535375,-0.1866896609130016,0.4072463632862586,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-tsi,VO-rvi,4,10,0.0964876407137309,0.0260241553326062,-0.1336234363039638,0.4072463632862586,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-tsi,VO-rvi,4,20,0.1021072712009839,0.0715913033343145,-0.1250025668400864,0.4072463632862586,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-kst,VO-rvi,4,1,0.030420309006939,0.0964959347247293,-0.4453771939162933,0.3450629638957115,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-kst,VO-rvi,4,5,0.0694394635198914,0.0376064636683937,-0.19934882956445,0.3450629638957115,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-kst,VO-rvi,4,10,0.0940252979801962,0.0320018083055368,-0.1440900167666416,0.3450629638957115,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-kst,VO-rvi,4,20,0.1015786645247595,0.0730327144152798,-0.12901966937933,0.3450629638957115,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-brar,VO-rvi,4,1,0.02271238606995,0.2070640771444272,-0.410091243383698,0.3903797187985492,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-brar,VO-rvi,4,5,0.0621947833425529,0.0580006253220279,-0.1598616721716926,0.3903797187985492,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-brar,VO-rvi,4,10,0.0882185617353405,0.039533531922327,-0.1153182332598126,0.3903797187985492,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-brar,VO-rvi,4,20,0.0925884317552282,0.0970697410466544,-0.1102937420546499,0.3903797187985492,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-er,VO-rvi,4,1,0.0330724277582468,0.066091996003359,-0.188619574427946,0.2997202144585343,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-er,VO-rvi,4,5,0.0759971302604839,0.0198715787371477,-0.0488872488712216,0.2997202144585343,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-er,VO-rvi,4,10,0.1070230749258993,0.0099955324190737,-0.0302181481262023,0.2997202144585343,1.0,False,volatility
