,ASHR,BTC-USD,CL=F,ETH-USD,GC=F,SI=F,VEA,VWO,^FTSE,^GSPC,^KS11,^N225,^NDX,^TWII
2024-01-02,0.0,0.0560732146150866,0.08758136940754453,0.035783344024455904,0.16190294146044343,0.054978531966360114,0.0,0.0,0.0,0.0,0.14804223235723502,0.0,0.0,0.3306383661688744
2024-02-01,0.06565609519705337,0.02855925019801031,0.07711788808747976,0.017876273017056257,0.08097140079995392,0.02675315142724271,0.0,0.05460007120197903,0.0,0.0,0.1390770871113275,0.054829802763600215,0.10050928348958194,0.16610704149711292
2024-03-01,0.08034759131728139,0.0441466212934566,0.06378182103727784,0.045453399373083486,0.0877886050400645,0.012433813883075101,0.0,0.02670542202494749,0.0,0.0,0.14663524309402948,0.12157839283007851,0.050019436627999875,0.23227760784087242
2024-04-01,0.03846598659202541,0.04093907428565045,0.03237008318496406,0.023131204436445365,0.045442299711654144,0.006496040033411209,0.0,0.01299852773146123,0.0,0.0,0.07276767493067007,0.11722508437437765,0.09778018766282423,0.21996197498980008
2024-05-01,0.07933478048034759,0.017814302132629745,0.016188613979194678,0.009932906354920435,0.11485368208128127,0.0635460639161955,0.06971919291692957,0.006662279682076983,0.0,0.07468108839307519,0.06561293675316933,0.056901590697241176,0.1255160825678321,0.15077990889177573
2024-06-03,0.13871791820171542,0.009597295497765418,0.051247972667866425,0.022553981708563035,0.14961844031531057,0.09078586469957647,0.03531964816690506,0.09516573155848251,0.0,0.08900423754430939,0.03110312333162581,0.02760079348557762,0.11166450585449872,0.07576372837568812
2024-07-01,0.06622854122709326,0.0,0.026793021993367153,0.0099893937586552,0.14587476001289856,0.07815583405602364,0.017146713692519994,0.047902900446258306,0.0,0.04545912417110583,0.016293009718302973,0.014012497229481743,0.05853032033020906,0.1214084559589336
2024-08-01,0.033622993033164204,0.0,0.055014559797471885,0.0,0.07600812959905859,0.062454974637760396,0.06493689483093767,0.08954233742542869,0.0,0.13429710235593303,0.008064845584538845,0.006918780372226614,0.10482272721174557,0.05848970267110753
2024-09-03,0.016425497499405858,0.0,0.0895391954608895,0.0,0.13438871445309564,0.07997393439243158,0.03324225212815763,0.11535756621137505,0.0,0.068332260145379,0.05301357090823458,0.0,0.05271607725119157,0.07647401127839244
2024-10-01,0.009780287027781534,0.03994167909674663,0.12000736564944872,0.021751710434478023,0.16462695167613886,0.10040080693590746,0.016452088845787933,0.06061499586308513,0.0,0.03413354045749767,0.10610661985695605,0.0,0.026452498720480323,0.03737104371941171
2024-11-01,0.016759833839674623,0.021862956073458395,0.09934849144605824,0.010378685091927959,0.0844262767344405,0.10337282820601092,0.10042884683805313,0.09092909648412689,0.09470625539480719,0.07191454162837155,0.051634339135021516,0.0,0.1057676427949433,0.01894453045710575
2024-12-02,0.008248830891085456,0.057826974341804574,0.1057008406745317,0.04545772018150514,0.1416449521827099,0.10632298042101912,0.1150373546359931,0.1045324002899038,0.04791019028407775,0.037642449423506315,0.10130261073326499,0.0,0.055099563196546936,0.009149478799973814
2025-01-02,0.025865884629946365,0.02817063024812527,0.056653463014830215,0.021423065689475825,0.12072072935055239,0.09822664356613692,0.1711686500145955,0.052577069479090986,0.10194956395102785,0.0607747899628692,0.10529600922366864,0.0,0.11977628036786023,0.0
2025-02-03,0.06267422902264913,0.014764622101992047,0.02739624235538307,0.010138648000719475,0.14208381388830602,0.09510989566084058,0.08547720498305487,0.10152125236029538,0.05173809658880612,0.029846125484884266,0.052823502891027906,0.0,0.05854393883922403,0.0
2025-03-03,0.07435518029144787,0.0061142912099632855,0.04256040535570768,0.0,0.18780341912476567,0.09773189052069711,0.04393485078141991,0.11432514690369182,0.026411536788580606,0.10429055210729128,0.056791591816323934,0.0,0.10757990399933734,0.0
2025-04-01,0.07701420649663648,0.0,0.02147538595192566,0.0,0.10180663651235478,0.0531192493403171,0.11555472761799378,0.13346441885599014,0.12027614850395976,0.08658527491897759,0.07945506182026195,0.026388624066127145,0.11390724427422089,0.0
2025-05-01,0.0822876532979245,0.01809582839142993,0.08586747867383396,0.018254499089552335,0.14288444839673015,0.08983972380495253,0.05985739036412238,0.06645236871280233,0.1800990407068052,0.04279182451954493,0.10734624216380016,0.013299738988378954,0.057588215842365294,0.0
2025-06-02,0.12877272632364453,0.00959370478642494,0.11275413527937397,0.0352764996862826,0.17687705832630635,0.09588488404675816,0.030219841570541642,0.033147813990019884,0.08931752522638405,0.06661689778090069,0.1051839521723876,0.006727337494092982,0.03015781463048097,0.0
2025-07-01,0.06439257696763845,0.0,0.09137530011748693,0.016581378729184842,0.1585364336588287,0.049984694969119114,0.014942689910657793,0.01673132875801055,0.11233858626067575,0.03344065783851988,0.12950262029979662,0.0666122921044221,0.015327564205279217,0.0
2025-08-01,0.13364257743132263,0.0,0.04714537214374851,0.034836837303799044,0.16208872146255301,0.062483981363134544,0.056104189221147176,0.008171110834815806,0.056800827433525186,0.01657140924477786,0.06636648130713044,0.11741895863035565,0.06077659495326327,0.06592084053380036
2025-09-02,0.07203597180837873,0.0,0.05749113163678707,0.03305628444791563,0.08188909707843348,0.032914155475961875,0.028061806462294163,0.0,0.02736766195772272,0.008088370337509178,0.031204802288587855,0.13628460341358634,0.15085055637801595,0.09571952102837741
2025-10-01,0.03581320436455892,0.0,0.059661185378993085,0.015138789647455275,0.04360833051166034,0.018239399178816736,0.01386003727780507,0.0,0.013415102592345692,0.08992860268450982,0.01615467205687805,0.1321381247764627,0.07657798442703748,0.1174477375867592
2025-11-03,0.09700158463071704,0.0,0.027974552235403856,0.00673685416896596,0.08227722739666785,0.0435393434944321,0.006764561142265435,0.0,0.0066860401180014965,0.044106247707391355,0.07114885170857912,0.1180955753457282,0.03847828105921211,0.1556979703466746
2025-12-01,0.04799186579498095,0.0,0.06376109410685762,0.0,0.08249177878404088,0.025684690376994886,0.0,0.08634824246444017,0.0,0.1082529295326625,0.03411553020478199,0.0903949028527278,0.018984302445584002,0.1563057200170488
2026-01-02,0.09987831917855967,0.0,0.07165457012773568,0.0,0.09789680146147788,0.046551229659812496,0.0,0.04275236634178117,0.0,0.05306453778138996,0.01795729918053155,0.0799055944704127,0.09808803212668832,0.18964566574492164
2026-02-02,0.17608977997830033,0.0,0.03841699689898734,0.0,0.09735643808126451,0.04388987027574974,0.0,0.08718429829361399,0.0,0.025393727821734983,0.05571312331060588,0.03995860534701228,0.12733150552224626,0.15051677019575757
2026-03-02,0.18965580199471127,0.0,0.01874235705035827,0.0,0.08261846374779108,0.024664026550017964,0.0,0.08382130793799758,0.0,0.10159918943137394,0.059956265115992016,0.086887076984493,0.10355931812357964,0.17342441204243234
2026-04-01,0.09758098971847022,0.0,0.01523519534432146,0.010855182131095003,0.0837121294890121,0.01068087927298008,0.05182960358401444,0.11240177388080863,0.08707960962021843,0.16520920430275454,0.03873677766448138,0.040513066500290296,0.16234462960105306,0.08347940097199753
2026-05-01,0.04781317101053149,0.053037818222960054,0.007149674372053234,0.03329064643265644,0.10504949396577153,0.0,0.10544234676531863,0.055491404046208975,0.11989865829815624,0.0826051059835643,0.022908780462548503,0.06892168300521459,0.08500439894088636,0.12785842795337798
2026-06-01,0.02328589997446964,0.024389095638947884,0.02597110188702704,0.014196583192284246,0.1394698071508363,0.03173194663092768,0.052601153225100755,0.09047092824831182,0.12985439057233578,0.10579685889776208,0.014072030327124365,0.10383308422479115,0.04491683868458726,0.1585090843189717
2026-07-01,0.012179845313922744,0.009989680278568377,0.029591107739532205,0.005683838855037826,0.1562429080050344,0.042894832400399,0.02694101305541821,0.14045099250762227,0.06720493702411372,0.05371815153705438,0.007222215005395856,0.11092760704195068,0.023008668921194974,0.16795322026526327
