Date,open,high,low,close,volume
2005-03-10,14.35176417106698,14.408829058289198,14.251901434744743,14.311819076538086,108200
2005-03-11,14.374589989511914,14.445920823596639,14.291845960752317,14.294698715209961,184400
2005-03-14,14.25475049618383,14.297549422617662,14.152033943480163,14.209098815917969,112800
2005-03-15,14.052176240888418,14.083561986335432,13.895248602075647,13.900955200195312,127800
2005-03-16,13.875276586581458,13.915221686533313,13.766853394981895,13.781119346618652,196400
2005-03-17,13.766853123809376,13.95801926650557,13.764000368907153,13.89239501953125,243800
2005-03-18,13.952317834699887,13.952317834699887,13.838188013651234,13.912371635437012,75400
2005-03-21,13.783976829362937,13.783976829362937,13.672699765002294,13.738325119018555,81000
2005-03-22,13.783975180491998,13.829626885375417,13.48153195537529,13.518624305725098,68000
2005-03-23,13.433024539760028,13.492942185157986,13.378812403847558,13.3959321975708,54000
2005-03-24,13.355990860264729,13.438733832163033,13.35028426075061,13.353137016296387,113600
2005-03-28,13.4101968785118,13.452995814556765,13.338866044051631,13.398783683776855,66000
2005-03-29,13.267532318848582,13.298918053320246,13.073512404316396,13.10775089263916,51400
2005-03-30,13.236152108262901,13.39307975769043,13.179087211628609,13.39307975769043,177000
2005-03-31,13.558570453220137,13.584249607216528,13.410202128843498,13.467267036437988,180800
2005-04-01,13.729764147979152,13.729764147979152,13.438734097547322,13.48153305053711,142200
2005-04-04,13.567128759233892,13.569982603025343,13.46155939582269,13.555715560913086,43800
2005-04-05,13.567125127750872,13.641309808556754,13.487234937734266,13.524327278137207,70200
2005-04-06,13.647020024484467,13.718350881175047,13.624193627900683,13.649872779846191,96000
2005-04-07,13.63845399459412,13.741170560298556,13.575683606547447,13.706932067871094,48600
2005-04-08,13.695527765951638,13.709793723023287,13.595664978027344,13.595664978027344,62200
2005-04-11,13.695517144682857,13.695517144682857,13.624186326220967,13.647012710571289,89000
2005-04-12,13.615633885073727,13.6669921875,13.464411733075274,13.6669921875,252000
2005-04-13,13.678404721805496,13.695524519286703,13.530036408902523,13.555715560913086,58800
2005-04-14,13.418760947184241,13.418760947184241,13.210474967956545,13.210474967956543,97400
2005-04-15,13.167673833554327,13.167673833554327,12.91658896562376,12.987919807434082,224600
2005-04-18,12.95368480682373,12.987923315382032,12.882353945747438,12.95368480682373,86200
2005-04-19,13.1248720231297,13.219029236172988,13.1248720231297,13.213322639465332,107200
2005-04-20,13.17623376120793,13.19049971250802,12.9964797272443,13.005040168762207,60800
2005-04-21,13.196206897031493,13.29892349243164,13.11631669546354,13.29892349243164,154200
2005-04-22,13.2846594825164,13.296071592678413,13.153409875639278,13.204768180847168,35600
2005-04-25,13.22473797794729,13.327454566955566,13.17908628154609,13.327454566955566,67800
2005-04-26,13.27895529257889,13.353138919993327,13.239010178707831,13.244715690612793,123800
2005-04-27,13.227591774976993,13.239004971142975,13.12487518632773,13.181940078735352,77200
2005-04-28,13.147704791261889,13.147704791261889,12.91088581085205,12.91088581085205,62400
2005-04-29,13.122022440019396,13.153407096862793,12.959387115604247,13.153407096862793,40800
2005-05-02,13.181936901784235,13.219029236172988,13.127724777272514,13.213322639465332,61200
2005-05-03,13.124877291420715,13.204767500551565,13.122024536132814,13.122024536132812,117600
2005-05-04,13.281804201448706,13.58995399935148,13.281804201448706,13.578540802001953,622200
2005-05-05,13.621339620720713,13.698375981055005,13.492943872792901,13.5871000289917,222000
2005-05-06,13.615639665269185,13.749740988825119,13.598519861051802,13.652730941772461,251000
2005-05-09,13.592810135912343,13.724058672814905,13.495800111153345,13.698379516601562,248400
2005-05-10,13.532888499026365,13.58139295297056,13.410199354032702,13.415905952453613,148000
2005-05-11,13.453004367233758,13.495802242065091,13.355994327157418,13.492949485778809,41200
2005-05-12,13.467265574181292,13.51291727761557,13.213327905801723,13.253273010253906,106000
2005-05-13,13.293218444915327,13.31033824228687,13.127730335591238,13.221887588500977,83800
2005-05-16,13.20761668307954,13.341717902733759,13.176230943876824,13.310333251953125,42600
2005-05-17,13.273243517611109,13.358840312310573,13.210472026901096,13.327454566955566,139200
2005-05-18,13.387379962729103,13.712649712321843,13.387379962729103,13.652730941772461,518800
2005-05-19,13.61278369114422,13.641316693710273,13.544306661831204,13.595664978027344,54400
2005-05-20,13.504359389637793,13.527184699622039,13.424468083636475,13.467267036437988,70800
2005-05-23,13.444440697174134,13.515771559875388,13.387375789328612,13.48153305053711,56000
2005-05-24,13.467270269736126,13.484388984228623,13.381673432005114,13.478683471679688,49200
2005-05-25,13.481527707987121,13.481527707987121,13.341718793591134,13.427316665649414,64200
2005-05-26,13.487239650163922,13.541450713984743,13.438734097547322,13.48153305053711,45600
2005-05-27,13.598511814066025,13.664136058764807,13.56997991234387,13.655576705932617,69000
2005-05-31,13.62419629215275,13.627049048072339,13.495800507317028,13.535745620727539,130200
2005-06-01,13.410200568301914,13.629899729499682,13.38166866203621,13.6099271774292,194800
2005-06-02,13.649872819575084,13.729763031005861,13.618487068392279,13.72976303100586,271400
2005-06-03,13.729761765420713,13.838184962670008,13.661284758627136,13.695523262023926,46000
2005-06-06,13.78112441609032,13.826776131174611,13.718353988113634,13.815362930297852,91800
2005-06-07,13.789685665974401,13.852456097615503,13.73547350285637,13.744032859802246,228200
2005-06-08,13.7925376882206,13.812510245646736,13.6812617001542,13.684114456176758,52000
2005-06-09,13.718348941732454,13.798239141636165,13.666990645102258,13.781119346618652,81600
2005-06-10,13.875275364311074,13.880981962147551,13.724053242700027,13.789678573608398,69600
2005-06-13,13.772559993321066,13.829624888290434,13.724054451649284,13.781119346618652,112600
2005-06-14,13.786828723112821,13.835334274558855,13.766856169112266,13.832480430603027,45800
2005-06-15,13.972288374241652,14.02935218811035,13.886690476593643,14.029352188110352,59200
2005-06-16,14.05503497347344,14.26332208394964,14.05503497347344,14.240495681762695,88600
2005-06-17,14.23193794622867,14.291855626160121,14.18057962388089,14.286149024963379,61400
2005-06-20,14.23764419555664,14.291855272951578,14.149193511827454,14.23764419555664,333000
2005-06-21,14.194841845582964,14.194841845582964,14.13777693706193,14.15489673614502,120600
2005-06-22,14.28899371617123,14.28899371617123,14.203395841477436,14.269020080566406,63800
2005-06-23,14.271876768861333,14.283289966218856,13.983699521907097,14.057884216308594,129400
2005-06-24,14.086414795923293,14.106387345208587,13.98084545135498,13.98084545135498,49000
2005-06-27,14.032205769809616,14.097830025271088,13.980847467548905,14.037912368774414,124400
2005-06-28,14.08926912302192,14.177718676202009,14.060736131332906,14.152039527893066,35600
2005-06-29,14.075007239442868,14.106391906738281,14.017942327993895,14.106391906738281,136400
2005-06-30,14.120655146958793,14.123507901972543,13.980846205993023,14.00367259979248,87600
2005-07-01,14.137777141158582,14.149190340712073,14.026501166568586,14.132070541381836,23200
2005-07-05,13.95231734489682,14.154896736145021,13.87242603759833,14.15489673614502,233400
2005-07-06,14.023644384284989,14.097827983237122,14.009377344728309,14.046469688415527,174200
2005-07-07,13.918075967358599,14.04361896773921,13.841038513967533,14.037912368774414,71600
2005-07-08,14.03791165012411,14.140628249387108,14.00937865676083,14.12350845336914,35400
2005-07-11,14.209100167478683,14.40312009916913,14.209100167478683,14.351761817932129,96200
2005-07-12,14.423093671898865,14.551489384149308,14.423093671898865,14.525810241699219,57200
2005-07-13,14.514404033654019,14.537230432783979,14.480165523381695,14.522964477539062,42200
2005-07-14,14.716979615502675,14.719832370232606,14.545784944305932,14.611409187316895,66600
2005-07-15,14.537229222401825,14.577174329130775,14.480164317750814,14.540081977844238,57800
2005-07-18,14.531522126333506,14.582880429921477,14.500136375427248,14.500136375427246,51800
2005-07-19,14.568617842712385,14.651360827903488,14.522966127687978,14.648508071899414,28200
2005-07-20,14.628526761404821,14.79401372118817,14.60284761904267,14.774041175842285,199200
2005-07-21,14.759778443409441,14.916706086071217,14.65420909666204,14.87961483001709,184000
2005-07-22,14.925267419182266,14.925267419182266,14.768338678724554,14.902441024780273,51000
2005-07-25,14.839667206722153,14.876759547610574,14.65135383605957,14.65135383605957,138800
2005-07-26,14.668476089784264,14.742659695583006,14.63709034133858,14.734100341796875,106200
2005-07-27,14.776900084813649,14.848230939339583,14.694156032342176,14.836817741394043,105400
2005-07-28,14.950947657006148,15.116434674777409,14.922414661926641,15.105021476745605,74000
2005-07-29,15.008008830349095,15.053660526023513,14.965210977891859,14.979476928710938,202800
2005-08-01,15.167795122521298,15.207740232859159,15.079344457899875,15.153529167175293,273000
2005-08-02,15.347546295985113,15.464528849106577,15.347546295985113,15.458822250366211,111000
2005-08-03,15.481648633101713,15.53015418155545,15.433144173070472,15.48735523223877,111800
2005-08-04,15.450265801232176,15.467384512249302,15.338988737507742,15.364667892456055,72600
2005-08-05,15.310456224485742,15.310456224485742,15.06507788428335,15.122142791748047,102000
2005-08-08,15.244831961849243,15.378934331127896,15.105022992981864,15.122142791748047,87000
2005-08-09,15.427438611134589,15.572954177856447,15.401759457502646,15.572954177856445,66400
2005-08-10,15.581506027339161,15.744140225859963,15.481642216464712,15.50732135772705,124800
2005-08-11,15.644282667645241,15.68137392627322,15.507326476754972,15.612896919250488,270800
2005-08-12,15.501618202160927,15.572949040002444,15.30189163852024,15.467378616333008,625000
2005-08-15,15.458820711603822,15.547271350641545,15.3703700725661,15.535858154296875,77000
2005-08-16,15.510179373026943,15.681372968550718,15.233415341455252,15.279067039489746,241800
2005-08-17,15.373224394624716,15.39034310125253,15.307600146232627,15.336132049560547,73400
2005-08-18,15.176351249473196,15.176351249473196,15.050809345344094,15.076488494873047,58800
2005-08-19,15.124990528325572,15.156376271437388,14.970916744247363,15.036540985107422,107000
2005-08-22,15.276216648620942,15.327574952910505,15.164940685467725,15.239124298095703,98000
2005-08-23,15.164940302550136,15.164940302550136,14.979479643029352,15.05366325378418,104400
2005-08-24,14.953804577248569,15.025135452180765,14.828262629200104,14.86250114440918,65200
2005-08-25,15.008009826368486,15.096460468792522,14.930973469148423,15.08790111541748,76600
2005-08-26,15.036543623068427,15.036543623068427,14.922413825988768,14.92241382598877,60000
2005-08-29,14.925269902184658,15.090756935440332,14.848232440895394,15.065077781677246,120400
2005-08-30,14.873910259760196,14.948093870405438,14.825404712150922,14.908148765563965,493400
2005-08-31,15.013714082087768,15.202027445911549,14.948089843466683,15.19346809387207,70200
2005-09-01,15.296190177236815,15.384639749270836,15.25624506877983,15.347548484802246,105000
2005-09-02,15.493062147027123,15.538713852631178,15.45311704067639,15.484502792358398,100800
2005-09-06,15.607191643142853,15.68708185424671,15.550126740173313,15.661402702331543,329000
2005-09-07,15.638571363754389,15.701341753235532,15.60718562480278,15.692782402038574,137200
2005-09-08,15.735580569559902,15.744139920340572,15.630010163962217,15.698488235473633,71400
2005-09-09,15.744148758631189,15.906783045294016,15.744148758631189,15.89251708984375,97800
2005-09-12,15.88680426272534,15.89251086035312,15.812619581986393,15.85256576538086,100400
2005-09-13,15.829741879312502,15.829741879312502,15.724172527551815,15.746997833251953,128000
2005-09-14,15.835448653203345,15.863980557750072,15.778383755687504,15.818328857421875,83200
2005-09-15,15.875395136620622,15.878248980377107,15.806918124379767,15.872542381286621,96600
2005-09-16,15.94957516910389,15.995226860046388,15.872537736559268,15.995226860046387,123000
2005-09-19,15.955289353455113,16.040887272883758,15.906784881640121,16.023767471313477,83200
2005-09-20,16.129327642561588,16.180685929500108,16.006638522477587,16.035171508789062,316600
2005-09-21,16.058001693244154,16.140745746079734,16.02661594296704,16.092241287231445,102200
2005-09-22,16.06370963430266,16.63435652069652,15.949580910077424,16.075122833251953,83800
2005-09-23,15.866842277929004,15.960998480412448,15.804070750658088,15.946732521057129,96000
2005-09-26,16.07797486183929,16.16071891784668,15.986671451218207,16.16071891784668,238200
2005-09-27,16.12077385458928,16.13218705305287,15.978112139061944,16.029470443725586,104000
2005-09-28,16.155004366761116,16.155004366761116,16.05228780826625,16.12647247314453,72600
2005-09-29,16.294822453332152,16.460309488856996,16.2406103010764,16.420364379882812,306600
2005-09-30,16.4060953671651,16.451747067258577,16.34047111630713,16.443187713623047,544200
2005-10-03,16.41465289438388,16.46886503050323,16.36329460144043,16.36329460144043,329600
2005-10-04,16.543048498150586,16.543048498150586,16.334762573242188,16.334762573242188,186200
2005-10-05,16.27484876858021,16.27484876858021,15.992378092930174,16.029470443725586,150400
2005-10-06,15.889668559797471,15.889668559797471,15.364673169322163,15.527307510375977,257000
2005-10-07,15.764114504781567,15.798353000757729,15.684224318029802,15.755555152893066,143200
2005-10-10,15.989525036767636,15.989525036767636,15.77553246750176,15.792651176452637,149600
2005-10-11,16.02661261410579,16.02661261410579,15.846859680909814,15.863978385925293,152200
2005-10-12,15.835445736558677,15.835445736558677,15.513030050137198,15.578654289245605,147800
2005-10-13,15.378931822171044,15.378931822171044,15.202030529048336,15.34469223022461,144000
2005-10-14,15.441701638154248,15.441701638154248,15.207736544274816,15.42172908782959,132000
2005-10-17,15.521593104518283,15.521593104518283,15.458821609399358,15.493060111999512,212200
2005-10-18,15.364667287944785,15.364667287944785,15.070784483872078,15.122142791748047,185800
2005-10-19,14.888176896707677,15.127848625183107,14.785460286157846,15.127848625183105,358200
